,timewrtire0,visibility0,x0,y0,z0,timewrtire1,visibility1,x1,y1,z1
2024-12-17 04:00:23,20241217110022,0.9978996515274048,0.6715814471244812,0.7967099547386169,-1.4213411808013916,20241217110022,0.9971029162406921,0.6945021748542786,0.7707875967025757,-1.3917369842529297
2024-12-17 04:00:38,20241217110038,0.9980862140655518,0.7320500016212463,0.7780296802520752,-1.930126428604126,20241217110038,0.9973534345626831,0.7430716156959534,0.7534456849098206,-1.837705373764038
2024-12-17 04:00:54,20241217110054,0.9956988096237183,0.8191075325012207,0.7688148617744446,-2.6213877201080322,20241217110054,0.9941640496253967,0.8098059892654419,0.714335560798645,-2.5590832233428955
2024-12-17 04:01:08,20241217110108,0.9959560036659241,0.7400285005569458,0.7595489025115967,-1.3424115180969238,20241217110108,0.9945282340049744,0.7565931081771851,0.6968086361885071,-1.2664145231246948
2024-12-17 04:01:22,20241217110122,0.9934505820274353,0.9932613372802734,0.7902145981788635,-0.5268346071243286,20241217110122,0.9926867485046387,0.9590446352958679,0.7200378179550171,-0.47821244597435
2024-12-17 04:01:36,20241217110136,0.9939358830451965,0.7968951463699341,0.788791298866272,-0.7385454773902893,20241217110136,0.99317866563797,0.8160238265991211,0.7157089114189148,-0.6848147511482239
2024-12-17 04:01:50,20241217110150,0.9944483041763306,0.8476930856704712,0.7789750695228577,-0.4018790125846863,20241217110150,0.9937623739242554,0.8397495150566101,0.7070977687835693,-0.3384273052215576
2024-12-17 04:02:04,20241217110204,0.9945551753044128,0.9477525949478149,0.8313537836074829,-0.587043821811676,,,,,
2024-12-17 04:02:05,,,,,,20241217110204,0.9938849210739136,0.9330134391784668,0.7673388719558716,-0.5648567080497742
2024-12-17 04:02:20,20241217110220,0.9945605993270874,0.8492442965507507,0.8293676972389221,-1.217032551765442,20241217110220,0.9935437440872192,0.9014267921447754,0.7582785487174988,-1.1773087978363037
2024-12-17 04:02:36,20241217110236,0.9944607019424438,0.8933634757995605,0.8262555599212646,-0.642240047454834,20241217110236,0.9932212233543396,0.91423100233078,0.7550737857818604,-0.5798370242118835
2024-12-17 04:02:50,20241217110250,0.9946017265319824,0.7980956435203552,0.8030782341957092,-1.4582931995391846,20241217110250,0.9931257367134094,0.8347150087356567,0.7321978211402893,-1.3925325870513916
2024-12-17 04:03:06,20241217110306,0.9950338006019592,0.8701721429824829,0.7766516804695129,-2.5388760566711426,,,,,
2024-12-17 04:03:07,,,,,,20241217110306,0.99364173412323,0.8935999870300293,0.692371666431427,-2.4757227897644043
2024-12-17 04:03:21,20241217110321,0.9954590201377869,0.7676503658294678,0.7463865876197815,-2.1289029121398926,20241217110321,0.9941357374191284,0.8065513372421265,0.6527044773101807,-2.0821566581726074
2024-12-17 04:03:36,20241217110336,0.9958326816558838,0.6392250657081604,0.7199112176895142,-2.531661033630371,20241217110336,0.994607150554657,0.6876839399337769,0.6208131313323975,-2.5350987911224365
2024-12-17 04:03:51,20241217110351,0.996221125125885,0.6397595405578613,0.6588228344917297,-2.1453099250793457,,,,,
2024-12-17 04:03:52,,,,,,20241217110351,0.9950993061065674,0.6836147308349609,0.5588732361793518,-2.0894598960876465
2024-12-17 04:04:05,20241217110405,0.99654221534729,0.7911041378974915,0.6001989245414734,-1.8783483505249023,20241217110405,0.9955007433891296,0.7800601124763489,0.5179573893547058,-1.8235111236572266
2024-12-17 04:04:21,20241217110421,0.996516227722168,1.0048096179962158,0.8435627222061157,-2.294219493865967,20241217110421,0.9954321384429932,1.011620044708252,0.7554550766944885,-2.272662401199341
